text,GPT-4o,Gemini-1.5-Pro,Claude-3.5-Sonnet
就寝 時間 毎日 一定 する,2,2,2
朝日 積極的 浴びる,2,2,2
寝室 温度 18 -22度 保つ,2,2,2
就寝 前 ストレッチ 体 リラックス さ せる,2,2,2
寝具 定期的 清潔 保つ,2,2,2
夕方 以降 カフェイン 摂取 避ける,2,2,2
寝室 暗く し 快適 環境 作る,2,2,2
適度 運動 日中 行う,2,2,2
就寝 前 深呼吸 リラックス する,2,2,2
快適 寝具 選ぶ,2,2,2
白湯 寝る 前 一杯 飲む,2,2,2
寝室 照明 暖色系 する,2,2,2
瞑想 取り入れる,2,2,2
寝る 前 軽い 読書 する,2,1,2
寝室 観葉植物 置く,2,1,1
エッセンシャルオイル 使っ アロマセラピー,2,1,1
ドライヤー 音 雨 音 ホワイトノイズ 使う,2,1,1
寝る 前 ストレッチ,2,1,2
カフェイン 摂取 午後2時 終える,2,1,2
寝る 1時間前 風呂 入る,2,1,2
寝室 温度 適切 保つ,2,1,2
寝る 前 スマホ パソコン 避ける,2,1,2
ナイトモード ある デバイス 使用 する,2,1,1
毎朝 時間 起きる,2,0,2
夜遅く スマートフォン 見る,0,0,0
不規則 就寝 時間,0,0,0
寝る 直前 激しい 運動 する,0,0,0
夜遅く 重い 食事 とる,0,0,0
昼寝 長時間 とる,0,0,0
寝室 仕事 する,0,0,0
就寝 前 エネルギー ドリンク 飲む,0,0,0
休日 昼過ぎ 寝る,0,0,0
寝室 温度 管理 し,0,0,0
就寝 前 ストレス フル 作業 する,0,0,0
寝る 前 激しい アクション映画 見る,0,0,0
寝室 明るい 照明 使う,0,0,0
寝る 前 食事 とる,0,0,0
カフェイン 夜遅く 摂取 する,0,0,0
不規則 寝る時間 続ける,0,0,0
寝室 仕事 し 続ける,0,0,0
寝る 前 激しい 運動,0,0,0
部屋 散らかし まま 睡眠 入る,0,0,0
寝室 中 明るい スマホ 画面 見 続ける,0,0,0
アルコール 摂取 する,0,0,0
ネガティブ ニュース 寝る 前 チェック する,0,0,0
寝る 前 カーボン ハイ 食べ物 食べる,0,0,0
寝る 前 喧嘩 する,0,0,0
ページ めくる の やめ られ スリラー 小説 読む,0,0,0
昼寝 長時間 する,0,0,0
寝室 通気 悪く する,0,0,0
寝室 温度 高く する,0,1,0
大音量 音楽 寝る 前 聴く,0,0,0
明日 仕事 こと 心配 する,0,0,0
人混み 行く,1,1,0
SNS 無限 スクロール する,0,0,0
帰宅 遅く なる,0,1,0
問題 解決 せ 心 抱え まま 寝る,0,0,0
夜 寝る 前 スマホ 30分 程度 見る,1,1,1
週末 寝る時間 遅らせる,1,1,1
ライト 暗め し 就寝 準備 する,2,2,2
寝る 前 友人 短時間 電話 楽しむ,2,2,1
寝る 直前 ホットチョコレート 飲む,1,0,1
快適 音楽 静か 聴き リラックス する,2,2,2
通常 遅く 夕食 楽しむ,1,1,1
ぬるい 風呂 リラックス し 後 寝る,2,2,2
ベッド 映画 一部 見る,1,1,1
軽い テレビ番組 寝る 前 見る,1,1,1
朝 タイマー セット しない 目覚める,1,2,0
週末 長め 昼寝 取る,1,2,1
寝室 消音 し テレビ 見る,1,1,1
寝る 前 甘い もの 食べる,1,0,1
部屋 軽く 香り 付け し 寝る,2,2,2
ベッド 短い メディテーション 行う,2,2,2
週末 カフェイン 入り 飲み物 夜 楽しむ,1,1,0
夜 コーヒー デカフェ 切り替え 飲む,2,1,0
寝る 前 自然 音 環境音楽 静か 聴く,2,0,0
少量 ワイン 夕食 時 楽しむ,1,0,0
ヨガ 取り入れる,2,1,0
寝る 1時間前 ホットミルク 飲む,2,0,0
昼寝 20分 以内 抑える,2,1,0
寝室 暗く する,2,0,0
遮光 カーテン 使用 する,2,1,1
アロマキャンドル 焚く,2,1,1
リラックス 音楽 聴く,2,2,2
足 温める,2,2,1
寝る 前 軽い ジャーナリング する,2,0,1
軽い エクササイズ 昼間 取り入れる,2,2,2
朝食 食べる,2,1,1
息 整える 呼吸法 練習 する,2,2,2
ビタミンD 摂取 する,2,1,1
枕 高 さ 調整 する,2,1,1
ポジティブシンキング 心掛ける,2,2,1
寝る 前 軽い 散歩 する,2,2,1
ハーブティー 飲む,2,1,1
自分 合っ 就寝 ルーティン 見つける,2,0,1
晩ご飯 軽 め する,2,2,2
寝る 前 楽しい こと 考える,2,2,2
リラクゼーションアプリ 利用 する,2,1,0
寝る 前 散歩 自然 音 聞く,2,2,2
感謝 気持ち 書く,2,2,2
ホット タオル 首 温める,2,2,2
デジタルデトックス する,2,2,2
朝陽 浴びる,2,2,2
笑顔 作る,2,2,2
感謝 日記 つける,2,2,2
午前中 アウトドア 活動 する,2,2,2
朝 自分 好き こと する 決め おく,2,2,2
毎晩 時間 寝る こと 習慣 化 する,2,2,2
日光 浴びる,2,2,2
快適 寝具 選び 良い 枕 使う,2,2,2
寝室 落ち着い 色彩 統一 する,2,2,2
ヒーリング 音楽 リラクセーション する,2,2,2
リビング 眠る,0,0,0
寝る 前 スナック菓子 食べる,0,0,0
寝る 前 緊張 する よう テレビ 見る,0,0,0
ベッド 仕事 メール 追い 続ける,0,0,0
果物 寝る 前 食べる,1,0,0
寝る 前 激しい 運動 する,0,0,0
寝室 時計 置く,1,0,1
枕 硬 すぎる 柔らか すぎる もの する,0,0,0
寝る 前 心配 事 考える,0,0,0
寝る 前 ビデオゲーム レベル 上げる,0,0,0
ワイン 大量 飲む,0,0,0
寝室 掃除 し,0,0,0
SNS ネガティブ コメント 読む,0,2,2
ベッド 上 食べ物 食べる,0,2,2
新しい アプリ ゲーム 寝る 前 試す,0,2,2
ベッド 面白い 動画 見 続ける,0,2,2
眠る 前 エナジードリンク 飲む,0,2,2
眠く なる ネットサーフィン する,0,2,2
寝る 直前 パソコン 作業 する,0,2,2
毎晩 違う 時間 寝る,0,2,2
寝室 テレビ 見 続ける,0,2,2
深夜 重い アルコール 飲む,0,2,2
カフェイン 入り 飲料 夜遅く 飲む,0,2,2
寝る 直前 スナック 食べる,0,2,2
明るい 照明 下 読書 する,1,2,2
寝る 前 ショッピング サイト 閲覧 する,0,0,0
友人 夜更かし 頻繁 行う,0,0,0
夕方 長時間 昼寝 する,1,0,0
寝室 物 する,1,0,0
夜中 音楽 大音量 聴く,0,0,0
1日 中外 出る こと 計画 組み入れる 日 夜更かし する,1,0,0
夜 静か カフェ 短時間 作業 行う,1,0,1
24時間 ジム 夜 訪問 する 軽 め 運動 留める,1,0,0
寝る 前 1時間 映画 マラソン 行う,1,0,0
リズム感 ある 音楽 寝る 前 聴く,1,0,0
寝る 前 1 章 小説 読む,1,0,0
軽い おつまみ アルコール 控えめ 楽しむ,1,0,0
SNS 使う の 寝る 1時間前 制限 する,2,2,1
