text,GPT-4o,Gemini-1.5-Pro,Claude-3.5-Sonnet
就寝時間を毎日一定にする,2,2,2
朝日を積極的に浴びる,2,2,2
寝室の温度を18-22度に保つ,2,2,2
就寝前のストレッチで体をリラックスさせる,2,2,2
寝具は定期的に清潔に保つ,2,2,2
夕方以降のカフェイン摂取を避ける,2,2,2
寝室は暗くして快適な環境を作る,2,2,2
適度な運動を日中に行う,2,2,2
就寝前の深呼吸でリラックスする,2,2,2
快適な寝具を選ぶ,2,2,2
白湯を寝る前に一杯飲む,2,2,2
寝室の照明を暖色系にする,2,2,2
瞑想を取り入れる,2,2,2
寝る前に軽い読書をする,2,1,2
寝室に観葉植物を置く,2,1,1
エッセンシャルオイルを使ったアロマセラピー,2,1,1
ドライヤーの音や雨音といったホワイトノイズを使う,2,1,1
寝る前のストレッチ,2,1,2
カフェイン摂取は午後2時までに終える,2,1,2
寝る1時間前にゆっくりとお風呂に入る,2,1,2
寝室の温度を適切に保つ,2,1,2
寝る前にスマホやパソコンを避ける,2,1,2
ナイトモードのあるデバイスを使用する,2,1,1
毎朝同じ時間に起きる,2,0,2
夜遅くまでスマートフォンを見る,0,0,0
不規則な就寝時間,0,0,0
寝る直前に激しい運動をする,0,0,0
夜遅くに重い食事をとる,0,0,0
昼寝を長時間とる,0,0,0
寝室で仕事をする,0,0,0
就寝前にエネルギードリンクを飲む,0,0,0
休日に昼過ぎまで寝る,0,0,0
寝室の温度管理をしない,0,0,0
就寝前にストレスフルな作業をする,0,0,0
寝る前に激しいアクション映画を見る,0,0,0
寝室に明るい照明を使う,0,0,0
寝る前に大きな食事をとる,0,0,0
カフェインを夜遅くに摂取する,0,0,0
不規則な寝る時間を続ける,0,0,0
寝室で仕事をし続ける,0,0,0
寝る前の激しい運動,0,0,0
部屋を散らかしたまま睡眠に入る,0,0,0
寝室の中で明るいスマホ画面を見続ける,0,0,0
アルコールを摂取する,0,0,0
ネガティブなニュースを寝る前にチェックする,0,0,0
寝る前にカーボンハイの食べ物を食べる,0,0,0
寝る前に喧嘩をする,0,0,0
ページをめくるのがやめられないスリラー小説を読む,0,0,0
昼寝を長時間する,0,0,0
寝室の通気を悪くする,0,0,0
寝室の温度を高くする,0,1,0
大音量の音楽を寝る前に聴く,0,0,0
明日の仕事のことを心配する,0,0,0
人混みに行く,1,1,0
SNSを無限にスクロールする,0,0,0
帰宅が遅くなる,0,1,0
問題を解決せずに心に抱えたまま寝る,0,0,0
夜寝る前にスマホを30分程度だけ見る,1,1,1
週末だけ寝る時間を少し遅らせる,1,1,1
ライトを少し暗めにして就寝準備をする,2,2,2
寝る前に友人と短時間の電話を楽しむ,2,2,1
寝る直前にホットチョコレートを飲む,1,0,1
快適な音楽を静かに聴きながらリラックスする,2,2,2
通常より少し遅く夕食を楽しむ,1,1,1
ぬるいお風呂でリラックスした後に寝る,2,2,2
少しだけベッドで映画の一部を見る,1,1,1
軽いテレビ番組を寝る前に少し見る,1,1,1
朝にタイマーをセットしないで目覚める,1,2,0
週末だけ少し長めに昼寝を取る,1,2,1
寝室で消音したテレビを少し見る,1,1,1
寝る前に少し甘いものを食べる,1,0,1
